 .gitattributes                                     |   11 +
 .scrutinizer.yml                                   |    7 +
 .travis.yml                                        |   45 +-
 CHANGELOG                                          |  990 ++++++++++-------
 Vagrantfile                                        |   64 ++
 build.properties                                   |   12 +-
 build.xml                                          |  119 +-
 composer.json                                      |   18 +-
 composer.lock                                      |  906 +++++++++++----
 pdepend.xml.dist                                   |    2 +-
 phpunit.xml.dist                                   |    6 +-
 scripts/compare.sh                                 |    8 +-
 scripts/php-keywords.php                           |  169 +++
 setup                                              |    2 +-
 src/bin/pdepend                                    |    4 +-
 src/bin/pdepend.bat                                |    2 +-
 src/bin/pdepend.php                                |    4 +-
 src/conf/phar_bootstrap.stub                       |    4 +-
 src/main/php/PDepend/Application.php               |    8 +-
 src/main/php/PDepend/DbusUI/ResultPrinter.php      |   20 +-
 .../Compiler/ProcessListenerPass.php               |   10 +-
 .../PDepend/DependencyInjection/Configuration.php  |   58 +-
 .../php/PDepend/DependencyInjection/Extension.php  |    6 +-
 .../DependencyInjection/ExtensionManager.php       |    8 +-
 .../DependencyInjection/PdependExtension.php       |   14 +-
 src/main/php/PDepend/Engine.php                    |   75 +-
 src/main/php/PDepend/Input/CompositeFilter.php     |   12 +-
 src/main/php/PDepend/Input/ExcludePathFilter.php   |   14 +-
 src/main/php/PDepend/Input/ExtensionFilter.php     |   14 +-
 src/main/php/PDepend/Input/Filter.php              |   10 +-
 src/main/php/PDepend/Input/Iterator.php            |   16 +-
 src/main/php/PDepend/Metrics/AbstractAnalyzer.php  |   10 +-
 .../PDepend/Metrics/AbstractCachingAnalyzer.php    |   26 +-
 src/main/php/PDepend/Metrics/AggregateAnalyzer.php |   12 +-
 src/main/php/PDepend/Metrics/Analyzer.php          |   22 +-
 .../Metrics/Analyzer/ClassDependencyAnalyzer.php   |  354 ++++++
 .../Metrics/Analyzer/ClassLevelAnalyzer.php        |   36 +-
 .../PDepend/Metrics/Analyzer/CodeRankAnalyzer.php  |   11 +-
 .../CodeRankAnalyzer/CodeRankStrategyI.php         |   10 +-
 .../CodeRankAnalyzer/InheritanceStrategy.php       |   15 +-
 .../Analyzer/CodeRankAnalyzer/MethodStrategy.php   |   14 +-
 .../Analyzer/CodeRankAnalyzer/PropertyStrategy.php |   10 +-
 .../Analyzer/CodeRankAnalyzer/StrategyFactory.php  |    8 +-
 .../PDepend/Metrics/Analyzer/CohesionAnalyzer.php  |    8 +-
 .../PDepend/Metrics/Analyzer/CouplingAnalyzer.php  |   52 +-
 .../PDepend/Metrics/Analyzer/CrapIndexAnalyzer.php |   25 +-
 .../Analyzer/CyclomaticComplexityAnalyzer.php      |   78 +-
 .../Metrics/Analyzer/DependencyAnalyzer.php        |   40 +-
 .../PDepend/Metrics/Analyzer/HalsteadAnalyzer.php  |  401 +++++++
 .../PDepend/Metrics/Analyzer/HierarchyAnalyzer.php |   23 +-
 .../Metrics/Analyzer/InheritanceAnalyzer.php       |   32 +-
 .../Analyzer/MaintainabilityIndexAnalyzer.php      |  201 ++++
 .../Metrics/Analyzer/NPathComplexityAnalyzer.php   |   80 +-
 .../PDepend/Metrics/Analyzer/NodeCountAnalyzer.php |   21 +-
 .../PDepend/Metrics/Analyzer/NodeLocAnalyzer.php   |   33 +-
 .../php/PDepend/Metrics/AnalyzerCacheAware.php     |   14 +-
 src/main/php/PDepend/Metrics/AnalyzerFactory.php   |    8 +-
 .../php/PDepend/Metrics/AnalyzerFilterAware.php    |    8 +-
 src/main/php/PDepend/Metrics/AnalyzerIterator.php  |   10 +-
 src/main/php/PDepend/Metrics/AnalyzerListener.php  |   12 +-
 src/main/php/PDepend/Metrics/AnalyzerNodeAware.php |    8 +-
 .../php/PDepend/Metrics/AnalyzerProjectAware.php   |   16 +-
 src/main/php/PDepend/ProcessListener.php           |   22 +-
 src/main/php/PDepend/Report/CodeAwareGenerator.php |    8 +-
 src/main/php/PDepend/Report/Dependencies/Xml.php   |  351 ++++++
 src/main/php/PDepend/Report/FileAwareGenerator.php |    6 +-
 src/main/php/PDepend/Report/Jdepend/Chart.php      |   28 +-
 src/main/php/PDepend/Report/Jdepend/Xml.php        |   54 +-
 .../php/PDepend/Report/NoLogOutputException.php    |   10 +-
 src/main/php/PDepend/Report/Overview/Pyramid.php   |   18 +-
 src/main/php/PDepend/Report/ReportGenerator.php    |   12 +-
 .../php/PDepend/Report/ReportGeneratorFactory.php  |   10 +-
 src/main/php/PDepend/Report/Summary/Xml.php        |   96 +-
 .../PDepend/Source/AST/ASTAllocationExpression.php |   19 +-
 .../php/PDepend/Source/AST/ASTAnonymousClass.php   |  328 ++++++
 src/main/php/PDepend/Source/AST/ASTArguments.php   |   19 +-
 src/main/php/PDepend/Source/AST/ASTArray.php       |   16 +-
 .../php/PDepend/Source/AST/ASTArrayElement.php     |   18 +-
 .../PDepend/Source/AST/ASTArrayIndexExpression.php |   16 +-
 src/main/php/PDepend/Source/AST/ASTArtifact.php    |   11 +-
 .../php/PDepend/Source/AST/ASTArtifactList.php     |   30 +-
 .../Source/AST/ASTArtifactList/ArtifactFilter.php  |    8 +-
 .../ASTArtifactList/CollectionArtifactFilter.php   |   12 +-
 .../AST/ASTArtifactList/NullArtifactFilter.php     |    8 +-
 .../AST/ASTArtifactList/PackageArtifactFilter.php  |   10 +-
 .../PDepend/Source/AST/ASTAssignmentExpression.php |   15 +-
 .../PDepend/Source/AST/ASTBooleanAndExpression.php |   19 +-
 .../PDepend/Source/AST/ASTBooleanOrExpression.php  |   19 +-
 .../php/PDepend/Source/AST/ASTBreakStatement.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTCallable.php    |   57 +
 .../php/PDepend/Source/AST/ASTCastExpression.php   |   12 +-
 .../php/PDepend/Source/AST/ASTCatchStatement.php   |   10 +-
 src/main/php/PDepend/Source/AST/ASTClass.php       |   30 +-
 .../php/PDepend/Source/AST/ASTClassFqnPostfix.php  |   12 +-
 ...assOrInterfaceRecursiveInheritanceException.php |   10 +-
 .../Source/AST/ASTClassOrInterfaceReference.php    |   22 +-
 .../AST/ASTClassOrInterfaceReferenceIterator.php   |    8 +-
 .../php/PDepend/Source/AST/ASTClassReference.php   |   16 +-
 .../php/PDepend/Source/AST/ASTCloneExpression.php  |   14 +-
 src/main/php/PDepend/Source/AST/ASTClosure.php     |   37 +-
 src/main/php/PDepend/Source/AST/ASTComment.php     |   15 +-
 .../php/PDepend/Source/AST/ASTCompilationUnit.php  |   80 +-
 .../AST/ASTCompilationUnitNotFoundException.php    |   10 +-
 .../PDepend/Source/AST/ASTCompoundExpression.php   |   19 +-
 .../php/PDepend/Source/AST/ASTCompoundVariable.php |   19 +-
 .../Source/AST/ASTConditionalExpression.php        |   19 +-
 src/main/php/PDepend/Source/AST/ASTConstant.php    |   19 +-
 .../PDepend/Source/AST/ASTConstantDeclarator.php   |   19 +-
 .../PDepend/Source/AST/ASTConstantDefinition.php   |   15 +-
 .../php/PDepend/Source/AST/ASTConstantPostfix.php  |   19 +-
 .../PDepend/Source/AST/ASTContinueStatement.php    |   14 +-
 .../php/PDepend/Source/AST/ASTDeclareStatement.php |   18 +-
 .../php/PDepend/Source/AST/ASTDoWhileStatement.php |   14 +-
 .../php/PDepend/Source/AST/ASTEchoStatement.php    |   14 +-
 .../php/PDepend/Source/AST/ASTElseIfStatement.php  |   16 +-
 .../php/PDepend/Source/AST/ASTEvalExpression.php   |   14 +-
 .../php/PDepend/Source/AST/ASTExitExpression.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTExpression.php  |   16 +-
 .../php/PDepend/Source/AST/ASTFieldDeclaration.php |   22 +-
 .../php/PDepend/Source/AST/ASTFinallyStatement.php |   10 +-
 src/main/php/PDepend/Source/AST/ASTForInit.php     |   12 +-
 .../php/PDepend/Source/AST/ASTForStatement.php     |   14 +-
 src/main/php/PDepend/Source/AST/ASTForUpdate.php   |   16 +-
 .../php/PDepend/Source/AST/ASTForeachStatement.php |   14 +-
 .../php/PDepend/Source/AST/ASTFormalParameter.php  |   70 +-
 .../php/PDepend/Source/AST/ASTFormalParameters.php |   18 +-
 src/main/php/PDepend/Source/AST/ASTFunction.php    |   28 +-
 .../php/PDepend/Source/AST/ASTFunctionPostfix.php  |   14 +-
 .../php/PDepend/Source/AST/ASTGlobalStatement.php  |   14 +-
 .../php/PDepend/Source/AST/ASTGotoStatement.php    |   14 +-
 src/main/php/PDepend/Source/AST/ASTHeredoc.php     |   12 +-
 src/main/php/PDepend/Source/AST/ASTIdentifier.php  |   14 +-
 src/main/php/PDepend/Source/AST/ASTIfStatement.php |   16 +-
 .../PDepend/Source/AST/ASTIncludeExpression.php    |   14 +-
 .../php/PDepend/Source/AST/ASTIndexExpression.php  |   11 +-
 .../PDepend/Source/AST/ASTInstanceOfExpression.php |   14 +-
 src/main/php/PDepend/Source/AST/ASTInterface.php   |   18 +-
 src/main/php/PDepend/Source/AST/ASTInvocation.php  |   17 +-
 .../php/PDepend/Source/AST/ASTIssetExpression.php  |   17 +-
 .../php/PDepend/Source/AST/ASTLabelStatement.php   |   14 +-
 .../php/PDepend/Source/AST/ASTListExpression.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTLiteral.php     |   16 +-
 .../PDepend/Source/AST/ASTLogicalAndExpression.php |   14 +-
 .../PDepend/Source/AST/ASTLogicalOrExpression.php  |   14 +-
 .../PDepend/Source/AST/ASTLogicalXorExpression.php |   14 +-
 .../PDepend/Source/AST/ASTMemberPrimaryPrefix.php  |   16 +-
 src/main/php/PDepend/Source/AST/ASTMethod.php      |   20 +-
 .../php/PDepend/Source/AST/ASTMethodPostfix.php    |   14 +-
 src/main/php/PDepend/Source/AST/ASTNamespace.php   |   67 +-
 src/main/php/PDepend/Source/AST/ASTNode.php        |  432 +-------
 src/main/php/PDepend/Source/AST/ASTParameter.php   |   32 +-
 .../php/PDepend/Source/AST/ASTParentReference.php  |   22 +-
 .../PDepend/Source/AST/ASTPostfixExpression.php    |   14 +-
 .../Source/AST/ASTPreDecrementExpression.php       |   14 +-
 .../Source/AST/ASTPreIncrementExpression.php       |   14 +-
 .../php/PDepend/Source/AST/ASTPrintExpression.php  |   76 ++
 src/main/php/PDepend/Source/AST/ASTProperty.php    |   46 +-
 .../php/PDepend/Source/AST/ASTPropertyPostfix.php  |   16 +-
 .../PDepend/Source/AST/ASTRequireExpression.php    |   14 +-
 .../php/PDepend/Source/AST/ASTReturnStatement.php  |   14 +-
 .../{ASTPrimitiveType.php => ASTScalarType.php}    |   21 +-
 src/main/php/PDepend/Source/AST/ASTScope.php       |   16 +-
 .../php/PDepend/Source/AST/ASTScopeStatement.php   |   14 +-
 .../php/PDepend/Source/AST/ASTSelfReference.php    |   31 +-
 .../PDepend/Source/AST/ASTShiftLeftExpression.php  |   12 +-
 .../PDepend/Source/AST/ASTShiftRightExpression.php |   12 +-
 src/main/php/PDepend/Source/AST/ASTStatement.php   |   16 +-
 .../php/PDepend/Source/AST/ASTStaticReference.php  |   16 +-
 .../Source/AST/ASTStaticVariableDeclaration.php    |   14 +-
 src/main/php/PDepend/Source/AST/ASTString.php      |   16 +-
