 README                                             |     4 +-
 _htaccess                                          |    29 +
 admin/include_community.php                        |    19 -
 admin/include_user.php                             |    37 +
 changelog.txt                                      |   238 +
 composer.json                                      |     7 +-
 composer.lock                                      |   422 +-
 copyright.txt                                      |    62 +-
 ...db_16.0_mysql.sql => tiki-secdb_16.1_mysql.sql} | 25873 ++++++++++---------
 doc/devtools/satis.json                            |   109 +-
 lang/ar/language.php                               |    29 +-
 lang/bg/language.php                               |    29 +-
 lang/ca/language.php                               |    29 +-
 lang/cn/language.php                               |    29 +-
 lang/cs/language.php                               |    29 +-
 lang/cy/language.php                               |    29 +-
 lang/da/language.php                               |    29 +-
 lang/de/language.php                               |    29 +-
 lang/el/language.php                               |    29 +-
 lang/en-uk/language.php                            |    29 +-
 lang/en/language.php                               |    29 +-
 lang/es/language.php                               |    29 +-
 lang/fa/language.php                               |    29 +-
 lang/fi/language.php                               |    29 +-
 lang/fj/language.php                               |    29 +-
 lang/fr/language.php                               |    29 +-
 lang/fy-NL/language.php                            |    29 +-
 lang/gl/language.php                               |    29 +-
 lang/he/language.php                               |   455 +-
 lang/hr/language.php                               |    29 +-
 lang/hu/language.php                               |    29 +-
 lang/id/language.php                               |    29 +-
 lang/is/language.php                               |    29 +-
 lang/it/language.php                               |    29 +-
 lang/iu-iq/language.php                            |    29 +-
 lang/iu-ro/language.php                            |    29 +-
 lang/iu/language.php                               |    29 +-
 lang/ja/language.php                               |    29 +-
 lang/ko/language.php                               |    29 +-
 lang/lt/language.php                               |    29 +-
 lang/nds/language.php                              |    29 +-
 lang/nl/language.php                               |    29 +-
 lang/no/language.php                               |    29 +-
 lang/pl/language.php                               |    29 +-
 lang/pt-br/language.php                            |    29 +-
 lang/pt/language.php                               |    29 +-
 lang/rm/language.php                               |    29 +-
 lang/ro/language.php                               |    29 +-
 lang/ru/language.php                               |    29 +-
 lang/sb/language.php                               |    29 +-
 lang/si/language.php                               |    29 +-
 lang/sk/language.php                               |    29 +-
 lang/sl/language.php                               |    29 +-
 lang/sq/language.php                               |    29 +-
 lang/sr-latn/language.php                          |    29 +-
